id;mot;pol_pos;pol_neutre;pol_neg
131593;méchant;40;17;1233
142226;gentil;491;94;45
152733;salle de bain;315;141;0
90075;chambre;272;1448;0
2959;saleté;0;21;898
109733;propreté;574;65;37
126532;très;347;223;39
142663;sale;21;26;1062
247632;était;260;56;32
1;vraiment;409;156;37
114890;qui;334;78;38
114738;belle;1094;104;0
144236;est;364;133;42
426966;serait;42;23;2
421721;pourrait;146;43;40
13369;être;225;328;44
2260256;qu';0;0;0
87252;il;190;238;26
116912;recommande;398;84;35
116912;recommandons;398;84;35
